"Gene","Module"
"ARL17B","grey"
"ARL2","brown"
"ARL2BP","brown"
"ARL3","turquoise"
"ARL4A","green"
"ARL4C","green"
"ARL4D","grey"
"ARL5B","brown"
"ARL6","turquoise"
"ARL6IP1","brown"
"ARL6IP4","brown"
"ARL6IP5","black"
"ARL6IP6","grey"
"ARL8A","brown"
"ARL8B","grey"
"ARLN","turquoise"
"ARMC1","turquoise"
"ARMC10","grey"
"ARMC12","blue"
"ARMC2","grey"
"ARMC3","grey"
"ARMC5","blue"
"ARMC6","grey"
"ARMC7","grey"
"ARMC8","turquoise"
"ARMC9","turquoise"
"ARMCX1","turquoise"
"ARMCX3","turquoise"
"ARMCX4","turquoise"
"ARMCX6","grey"
"ARMH3","brown"
"ARMH4","turquoise"
"ARMT1","turquoise"
"ARNT","grey"
"ARNT2","grey"
"ARPC1A","turquoise"
"ARPC1B","black"
"ARPC2","brown"
"ARPC3","turquoise"
"ARPC4","brown"
"ARPC5L","cyan"
"ARPIN-AP3S2","green"
"ARPP19","grey"
"ARRB1","brown"
"ARRB2","red"
"ARRDC1","pink"
"ARRDC1-AS1","brown"
"ARRDC2","turquoise"
"ARRDC3","grey"
"ARRDC4","grey"
"ARSA","brown"
"ARSB","grey"
"ARSD","grey"
"ARSF","brown"
"ARSG","grey"
"ARSI","grey"
"ARSJ","grey"
"ARSK","grey"
"ARSL","yellow"
"ART1","blue"
"ART3","grey"
"ART4","grey"
"ART5","blue"
"ARTN","blue"
"ARV1","grey"
"ARVCF","grey"
"ARX","blue"
"AS3MT","yellow"
"ASAH1","purple"
"ASAH2B","salmon"
"ASAP1","black"
"ASAP2","pink"
"ASB1","grey"
"ASB16","blue"
"ASB16-AS1","brown"
"ASB2","grey"
"ASB6","brown"
"ASB8","brown"
"ASB9","greenyellow"
"ASCC1","turquoise"
"ASCC2","brown"
"ASCC3","turquoise"
"ASCL1","blue"
"ASCL2","blue"
"ASCL5","blue"
"ASF1A","grey"
"ASF1B","magenta"
"ASGR1","blue"
"ASH2L","grey"
"ASIC2","brown"
"ASIC3","blue"
"ASL","grey"
"ASMTL","blue"
"ASMTL-AS1","grey"
"ASNS","yellow"
"ASNSD1","turquoise"
"ASPA","tan"
"ASPDH","blue"
"ASPG","blue"
"ASPH","grey"
"ASPHD1","grey"
"ASPHD2","grey"
"ASPM","magenta"
