"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"RTN3",-0.119559498468084,6.92550263424088,-2.90817390619199,0.00397339221723322,0.00903379900338438,-2.7850260331898,"Not Significant"
"UGT2B17",-0.167760414483757,3.25974892564813,-2.90814770599089,0.00397371373003581,0.00903379900338438,-2.78509922440373,"Not Significant"
"ANKRD2",-0.114555851003652,5.77875430886283,-2.90749444713757,0.0039817378106705,0.00905101070107346,-2.78692392810459,"Not Significant"
"NAALAD2",-0.128782496841559,3.71895790593171,-2.90711258886636,0.00398643508837666,0.00906065708411873,-2.78799037004206,"Not Significant"
"ATP6V0E2",-0.125675388296976,6.6641780824324,-2.9069432634685,0.00398851959713787,0.00906436345809897,-2.78846321499107,"Not Significant"
"OSTN",-0.0823536746400224,3.7468129061435,-2.9066058870341,0.00399267589538243,0.00907277682984853,-2.78940526969412,"Not Significant"
"LINC00314",-0.0531555681007241,3.13955153334119,-2.9063315375569,0.00399605865166175,0.00907943072554792,-2.79017125939121,"Not Significant"
"ITGB1BP1",0.23085249464563,6.91775933452609,2.90593354449444,0.00400097059988519,0.00908955718404308,-2.79128234489237,"Not Significant"
"ANKRD23",-0.101032879397345,5.52896487756086,-2.90558459921351,0.00400528174780625,0.00909828575179807,-2.79225638601882,"Not Significant"
"GLIPR2",0.267688214737262,7.30189364061305,2.90554884803988,0.00400572368585723,0.00909828575179807,-2.79235617520405,"Not Significant"
"EME2",-0.121457399863019,6.72084098801728,-2.9047866392059,0.00401515633354222,0.00911867340604574,-2.79448339110985,"Not Significant"
"TUBA1A",0.273689667115024,8.44908956753122,2.90468000571694,0.00401647758345178,0.00912063702272236,-2.79478094846304,"Not Significant"
"HSD17B1",-0.108494129251493,6.33943508137089,-2.90459145314637,0.00401757510228154,0.00912209220108804,-2.79502804385234,"Not Significant"
"FUNDC2P3",-0.0553188737770292,3.44616365130608,-2.90439790678911,0.00401997486584282,0.00912650352015735,-2.79556808744285,"Not Significant"
"GFRA2",-0.210732926243534,5.26152964062001,-2.90433475261455,0.00402075819195304,0.00912724447392545,-2.79574429640413,"Not Significant"
"SNORD115-4",-0.0464745759237077,2.4719472556159,-2.9041242808903,0.00402336976240151,0.00913213495843269,-2.79633151610893,"Not Significant"
"OGT",-0.105627641036943,9.20152610263639,-2.90383478753095,0.00402696437859023,0.00913925536847645,-2.79713914273168,"Not Significant"
"TMEM151A",-0.14969910728268,5.92430685275609,-2.9036660663165,0.00402906072942222,0.00914297421148369,-2.79760980542883,"Not Significant"
"TMEM201",-0.0944493689947725,5.39284820033844,-2.90348984790992,0.00403125129662444,0.00914690598645651,-2.79810135499215,"Not Significant"
"OR4F15",-0.0684024788379443,3.33504308159684,-2.90340111428001,0.00403235475422187,0.00914837049759515,-2.79834886104536,"Not Significant"
"TIAM1",0.213695162902344,6.09604063338947,2.90313263077456,0.00403569519323542,0.009154542168452,-2.7990977032031,"Not Significant"
"MRTFB",-0.14931265898234,7.85226795567506,-2.90308942751613,0.00403623295893301,0.009154542168452,-2.7992181977662,"Not Significant"
"C1QL3",-0.1624081374494,5.98936812381104,-2.90304989710445,0.00403672506479548,0.009154542168452,-2.7993284472381,"Not Significant"
"PTPRG",0.176373115924985,7.0600409675533,2.90303517494933,0.00403690835184366,0.009154542168452,-2.79936950665599,"Not Significant"
