"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"DKK3","green",0.701849376821954,4.51178556846141e-37,-0.456585736479104,8.18441490886948e-14,0.456585736479104,8.18441490886948e-14,TRUE,FALSE
"DNAJB6","green",0.69237206546726,9.87063054455579e-36,-0.259110454433787,4.67493989692585e-05,0.259110454433787,4.67493989692585e-05,TRUE,FALSE
"DOK5","green",0.73179032180798,1.1200472862666e-41,-0.303262409673181,1.61168769667589e-06,0.303262409673181,1.61168769667589e-06,TRUE,FALSE
"DPY19L1","green",0.695836477250239,3.24016525606296e-36,-0.453212179112282,1.30900409267548e-13,0.453212179112282,1.30900409267548e-13,TRUE,FALSE
"DPYSL3","green",0.915174172569521,2.71288732807111e-96,-0.45037210273704,1.93601714603146e-13,0.45037210273704,1.93601714603146e-13,TRUE,TRUE
"DRAM1","green",0.706475397824768,9.56912095336127e-38,-0.243975752005195,0.000130346153554332,0.243975752005195,0.000130346153554332,TRUE,FALSE
"DSE","green",0.882286673676453,3.58738445584203e-80,-0.378085852109161,1.31459119640036e-09,0.378085852109161,1.31459119640036e-09,TRUE,TRUE
"DST","green",0.725070199314563,1.36682336029356e-40,-0.272103344843644,1.84130125202541e-05,0.272103344843644,1.84130125202541e-05,TRUE,FALSE
"ECM1","green",0.66873091546403,1.32317772905795e-32,-0.550208234354074,1.79550681490515e-20,0.550208234354074,1.79550681490515e-20,TRUE,FALSE
"EDIL3","green",0.859203038018245,1.6557959506451e-71,-0.546336698716873,3.7341814958286e-20,0.546336698716873,3.7341814958286e-20,TRUE,TRUE
"EDNRA","green",0.875876714416335,1.35730197102221e-77,-0.536676825481706,2.2283415913827e-19,0.536676825481706,2.2283415913827e-19,TRUE,TRUE
"EEIG2","green",0.698844219297598,1.21601089128307e-36,-0.150854526074727,0.0191221448200102,0.150854526074727,0.0191221448200102,TRUE,FALSE
"EFEMP2","green",0.710027790451709,2.84919620150147e-38,-0.322404409253514,3.11565727127425e-07,0.322404409253514,3.11565727127425e-07,TRUE,FALSE
"EFNB2","green",0.743788361142776,1.06038403046524e-43,-0.520979479555215,3.6042392745982e-18,0.520979479555215,3.6042392745982e-18,TRUE,FALSE
"EIF5A2","green",0.739240025886563,6.39399395425089e-43,-0.461099599455932,4.33072231221015e-14,0.461099599455932,4.33072231221015e-14,TRUE,FALSE
"ENO1","green",0.771482934812659,7.7765825942794e-49,-0.407160038826531,4.86357710926165e-11,0.407160038826531,4.86357710926165e-11,TRUE,FALSE
"ETV1","green",0.750862336201684,6.0043232162399e-45,-0.49272683183942,3.81317137150982e-16,0.49272683183942,3.81317137150982e-16,TRUE,FALSE
"F2R","green",0.805522874212248,3.0837988846584e-56,-0.555914264875715,5.99667598246335e-21,0.555914264875715,5.99667598246335e-21,TRUE,TRUE
"FAM114A1","green",0.716395295099677,3.10074094805101e-39,-0.41741211317597,1.40618964756742e-11,0.41741211317597,1.40618964756742e-11,TRUE,FALSE
"FAP","green",0.862908085685133,8.63966631144042e-73,-0.421951859870348,8.00774776950256e-12,0.421951859870348,8.00774776950256e-12,TRUE,TRUE
"FBN1","green",0.880226954640999,2.50731694489161e-79,-0.369249009106539,3.3642628170112e-09,0.369249009106539,3.3642628170112e-09,TRUE,TRUE
"FBXL2","green",0.719108110821318,1.18301742095033e-39,-0.402672803605017,8.26280721771995e-11,0.402672803605017,8.26280721771995e-11,TRUE,FALSE
"FBXO32","green",0.80672421057096,1.58995139317914e-56,-0.571224551538031,2.84302707804985e-22,0.571224551538031,2.84302707804985e-22,TRUE,TRUE
"FEZ2","green",0.624551765959101,1.80026778118026e-27,-0.21506342140046,0.000777351998202135,0.21506342140046,0.000777351998202135,TRUE,FALSE
